"Statistic Label","Year","Type of Ownership","Region","UNIT","VALUE"
"Total Number of Persons Employed on In-House Research and Development","2005","Foreign ownership","South East","Person","248"
"Total Number of Persons Employed on In-House Research and Development","2005","Foreign ownership","South West","Person","1010"
"Total Number of Persons Employed on In-House Research and Development","2005","Foreign ownership","Dublin","Person","3342"
"Total Number of Persons Employed on In-House Research and Development","2005","Foreign ownership","Mid East","Person","445"
"Total Number of Persons Employed on In-House Research and Development","2005","Foreign ownership","Midlands","Person","993"
"Total Number of Persons Employed on In-House Research and Development","2006","All Enterprise ownership","Ireland","Person","14744"
"Total Number of Persons Employed on In-House Research and Development","2006","All Enterprise ownership","Border","Person","589"
"Total Number of Persons Employed on In-House Research and Development","2006","All Enterprise ownership","West","Person","1414"
"Total Number of Persons Employed on In-House Research and Development","2006","All Enterprise ownership","Mid West","Person","1479"
"Total Number of Persons Employed on In-House Research and Development","2006","All Enterprise ownership","South East","Person","591"
"Total Number of Persons Employed on In-House Research and Development","2006","All Enterprise ownership","South West","Person","1950"
"Total Number of Persons Employed on In-House Research and Development","2006","All Enterprise ownership","Dublin","Person","6283"
"Total Number of Persons Employed on In-House Research and Development","2006","All Enterprise ownership","Mid East","Person","1208"
"Total Number of Persons Employed on In-House Research and Development","2006","All Enterprise ownership","Midlands","Person","1230"
"Total Number of Persons Employed on In-House Research and Development","2006","Irish ownership","Ireland","Person","6136"
"Total Number of Persons Employed on In-House Research and Development","2006","Irish ownership","Border","Person","508"
"Total Number of Persons Employed on In-House Research and Development","2006","Irish ownership","West","Person","413"
"Total Number of Persons Employed on In-House Research and Development","2006","Irish ownership","Mid West","Person","379"
"Total Number of Persons Employed on In-House Research and Development","2006","Irish ownership","South East","Person","353"
"Total Number of Persons Employed on In-House Research and Development","2006","Irish ownership","South West","Person","821"
"Total Number of Persons Employed on In-House Research and Development","2006","Irish ownership","Dublin","Person","2813"
"Total Number of Persons Employed on In-House Research and Development","2006","Irish ownership","Mid East","Person","651"
"Total Number of Persons Employed on In-House Research and Development","2006","Irish ownership","Midlands","Person","197"
"Total Number of Persons Employed on In-House Research and Development","2006","Foreign ownership","Ireland","Person","8608"
"Total Number of Persons Employed on In-House Research and Development","2006","Foreign ownership","Border","Person","81"
"Total Number of Persons Employed on In-House Research and Development","2006","Foreign ownership","West","Person","1001"
"Total Number of Persons Employed on In-House Research and Development","2006","Foreign ownership","Mid West","Person","1099"
"Total Number of Persons Employed on In-House Research and Development","2006","Foreign ownership","South East","Person","238"
"Total Number of Persons Employed on In-House Research and Development","2006","Foreign ownership","South West","Person","1129"
"Total Number of Persons Employed on In-House Research and Development","2006","Foreign ownership","Dublin","Person","3469"
"Total Number of Persons Employed on In-House Research and Development","2006","Foreign ownership","Mid East","Person","557"
"Total Number of Persons Employed on In-House Research and Development","2006","Foreign ownership","Midlands","Person","1033"
"Total Number of Persons Employed on In-House Research and Development","2007","All Enterprise ownership","Ireland","Person","15489"
"Total Number of Persons Employed on In-House Research and Development","2007","All Enterprise ownership","Border","Person","715"
"Total Number of Persons Employed on In-House Research and Development","2007","All Enterprise ownership","West","Person","1781"
"Total Number of Persons Employed on In-House Research and Development","2007","All Enterprise ownership","Mid West","Person","1621"
"Total Number of Persons Employed on In-House Research and Development","2007","All Enterprise ownership","South East","Person","682"
"Total Number of Persons Employed on In-House Research and Development","2007","All Enterprise ownership","South West","Person","2055"
"Total Number of Persons Employed on In-House Research and Development","2007","All Enterprise ownership","Dublin","Person","6197"
"Total Number of Persons Employed on In-House Research and Development","2007","All Enterprise ownership","Mid East","Person","1215"
"Total Number of Persons Employed on In-House Research and Development","2007","All Enterprise ownership","Midlands","Person","1225"
"Total Number of Persons Employed on In-House Research and Development","2007","Irish ownership","Ireland","Person","6355"
